"prot_id" "length" "nr_p"
"82" "ENSP00000043402" 473 43
"83" "ENSP00000044462" 261 5
"84" "ENSP00000046087" 351 18
"85" "ENSP00000046794" 533 81
"86" "ENSP00000052754" 359 23
"87" "ENSP00000053243" 184 9
"88" "ENSP00000053468" 201 8
"89" "ENSP00000053867" 593 50
"90" "ENSP00000054650" 239 19
"91" "ENSP00000054666" 100 1
"92" "ENSP00000054668" 139 9
"93" "ENSP00000054950" 331 12
"94" "ENSP00000055077" 354 16
"95" "ENSP00000055335" 799 94
"96" "ENSP00000055682" 1516 86
"97" "ENSP00000056217" 1597 162
"98" "ENSP00000056233" 694 40
"99" "ENSP00000061240" 1013 48
"100" "ENSP00000062104" 81 4
"101" "ENSP00000064571" 201 10
"102" "ENSP00000064724" 207 8
"103" "ENSP00000064778" 244 38
"104" "ENSP00000064780" 430 49
"105" "ENSP00000070846" 881 38
"106" "ENSP00000072644" 306 18
"107" "ENSP00000072869" 626 39
"108" "ENSP00000074304" 977 48
"109" "ENSP00000075120" 496 21
"110" "ENSP00000075503" 422 27
"111" "ENSP00000078429" 359 8
"112" "ENSP00000078445" 461 39
"113" "ENSP00000080059" 991 109
"114" "ENSP00000081029" 323 25
"115" "ENSP00000083182" 585 7
"116" "ENSP00000084798" 328 28
"117" "ENSP00000085068" 221 16
"118" "ENSP00000085219" 847 57
"119" "ENSP00000086933" 205 25
"120" "ENSP00000155840" 676 48
"121" "ENSP00000155858" 1165 59
"122" "ENSP00000155926" 343 19
"123" "ENSP00000156084" 571 60
"124" "ENSP00000156109" 476 38
"125" "ENSP00000156471" 1485 88
"126" "ENSP00000156626" 600 38
"127" "ENSP00000157600" 365 22
"128" "ENSP00000157812" 418 21
"129" "ENSP00000158009" 324 25
"130" "ENSP00000158166" 520 43
"131" "ENSP00000158762" 740 38
"132" "ENSP00000158771" 239 16
"133" "ENSP00000159060" 568 24
"134" "ENSP00000159087" 1232 109
"135" "ENSP00000159111" 1096 93
"136" "ENSP00000160262" 547 38
"137" "ENSP00000160373" 1663 113
"138" "ENSP00000160382" 426 26
"139" "ENSP00000160827" 665 42
"140" "ENSP00000161006" 317 23
"141" "ENSP00000161559" 526 40
"142" "ENSP00000161863" 1430 76
"143" "ENSP00000162044" 479 26
"144" "ENSP00000162391" 574 78
"145" "ENSP00000162749" 455 37
"146" "ENSP00000163416" 731 16
"147" "ENSP00000164024" 3312 246
"148" "ENSP00000164133" 497 34
"149" "ENSP00000164139" 842 35
"150" "ENSP00000164227" 454 63
"151" "ENSP00000164305" 554 27
"152" "ENSP00000164640" 769 49
"153" "ENSP00000165524" 87 7
"154" "ENSP00000166139" 263 23
"155" "ENSP00000166244" 1005 60
"156" "ENSP00000166345" 432 14
"157" "ENSP00000167106" 365 29
"158" "ENSP00000167586" 472 4
"159" "ENSP00000167588" 424 4
"160" "ENSP00000168148" 211 7
"161" "ENSP00000168216" 261 13
"162" "ENSP00000168712" 206 14
"163" "ENSP00000169298" 406 23
"164" "ENSP00000169551" 248 11
"165" "ENSP00000170150" 458 26
"166" "ENSP00000170168" 1221 122
"167" "ENSP00000170447" 416 26
"168" "ENSP00000170564" 931 66
"169" "ENSP00000171111" 624 27
"170" "ENSP00000171757" 339 13
"171" "ENSP00000171887" 1735 188
"172" "ENSP00000172229" 427 29
"173" "ENSP00000173229" 604 35
"174" "ENSP00000173527" 298 17
"175" "ENSP00000173898" 1431 72
"176" "ENSP00000174618" 582 104
"177" "ENSP00000175091" 233 17
"178" "ENSP00000175238" 754 38
"179" "ENSP00000175506" 561 26
"180" "ENSP00000175756" 460 32
"181" "ENSP00000176183" 419 50
"182" "ENSP00000176195" 121 14
"183" "ENSP00000176763" 968 44
"184" "ENSP00000177694" 535 70
"185" "ENSP00000177742" 225 17
"186" "ENSP00000178638" 354 22
"187" "ENSP00000178640" 448 28
"188" "ENSP00000179259" 270 10
"189" "ENSP00000180166" 211 12
"190" "ENSP00000180173" 660 31
"191" "ENSP00000181383" 423 15
"192" "ENSP00000181796" 306 23
"193" "ENSP00000181839" 1512 131
"194" "ENSP00000182290" 320 12
"195" "ENSP00000182527" 370 15
"196" "ENSP00000183605" 261 6
"197" "ENSP00000184183" 212 13
"198" "ENSP00000184266" 129 11
"199" "ENSP00000184956" 1181 69
"200" "ENSP00000185150" 483 30
"201" "ENSP00000185206" 410 21
"202" "ENSP00000186436" 1883 153
"203" "ENSP00000187762" 299 14
"204" "ENSP00000188312" 396 17
"205" "ENSP00000188790" 760 34
"206" "ENSP00000190165" 472 58
"207" "ENSP00000192314" 398 21
"208" "ENSP00000192788" 1440 97
"209" "ENSP00000193322" 334 19
"210" "ENSP00000193391" 1241 73
"211" "ENSP00000194130" 595 34
"212" "ENSP00000194152" 795 53
"213" "ENSP00000194155" 798 48
"214" "ENSP00000194214" 144 5
"215" "ENSP00000194530" 418 27
"216" "ENSP00000195455" 93 3
"217" "ENSP00000196061" 727 33
"218" "ENSP00000196371" 520 21
"219" "ENSP00000196489" 594 28
"220" "ENSP00000197268" 622 41
"221" "ENSP00000198536" 303 24
"222" "ENSP00000198767" 651 37
"223" "ENSP00000198801" 334 19
"224" "ENSP00000199280" 271 14
"225" "ENSP00000199320" 313 20
"226" "ENSP00000199389" 630 27
"227" "ENSP00000199447" 588 31
"228" "ENSP00000199448" 224 15
"229" "ENSP00000199706" 256 20
"230" "ENSP00000199708" 142 6
"231" "ENSP00000199764" 344 29
"232" "ENSP00000199814" 420 48
"233" "ENSP00000199936" 387 18
"234" "ENSP00000200135" 779 31
"235" "ENSP00000200181" 1822 124
"236" "ENSP00000200453" 674 73
"237" "ENSP00000200457" 476 61
"238" "ENSP00000200557" 769 47
"239" "ENSP00000200652" 551 25
"240" "ENSP00000200676" 493 16
"241" "ENSP00000200691" 68 4
"242" "ENSP00000201031" 450 36
"243" "ENSP00000201586" 365 38
"244" "ENSP00000201647" 723 69
"245" "ENSP00000201979" 298 18
"246" "ENSP00000202017" 133 5
"247" "ENSP00000202556" 1090 117
"248" "ENSP00000202625" 706 31
"249" "ENSP00000202677" 1873 98
"250" "ENSP00000202816" 851 25
"251" "ENSP00000202967" 314 22
"252" "ENSP00000203001" 497 26
"253" "ENSP00000203407" 480 21
"254" "ENSP00000203556" 970 99
"255" "ENSP00000203629" 525 62
"256" "ENSP00000203630" 248 14
"257" "ENSP00000203664" 234 5
"258" "ENSP00000204517" 338 25
"259" "ENSP00000204549" 485 73
"260" "ENSP00000204566" 308 16
"261" "ENSP00000204604" 955 100
"262" "ENSP00000204615" 353 40
"263" "ENSP00000204679" 305 23
"264" "ENSP00000204726" 1498 56
"265" "ENSP00000204961" 346 25
"266" "ENSP00000205061" 1203 40
"267" "ENSP00000205143" 618 71
"268" "ENSP00000205194" 206 12
"269" "ENSP00000205214" 1098 46
"270" "ENSP00000205402" 509 17
"271" "ENSP00000205557" 1503 78
"272" "ENSP00000205636" 183 8
"273" "ENSP00000205890" 3530 357
"274" "ENSP00000205948" 345 32
"275" "ENSP00000206020" 227 10
"276" "ENSP00000206423" 950 76
"277" "ENSP00000206474" 363 9
"278" "ENSP00000206513" 281 33
"279" "ENSP00000206542" 335 14
"280" "ENSP00000206595" 706 31
"281" "ENSP00000206765" 817 47
"282" "ENSP00000207157" 496 43
"283" "ENSP00000207457" 430 11
"284" "ENSP00000207549" 1090 61
"285" "ENSP00000207870" 536 28
"286" "ENSP00000209540" 355 21
"287" "ENSP00000209668" 375 20
"288" "ENSP00000209718" 422 13
"289" "ENSP00000209728" 560 32
"290" "ENSP00000209873" 546 53
"291" "ENSP00000209875" 191 6
"292" "ENSP00000209884" 609 32
"293" "ENSP00000209929" 472 22
"294" "ENSP00000210060" 369 16
"295" "ENSP00000210187" 256 14
"296" "ENSP00000210313" 504 22
"297" "ENSP00000210444" 359 20
"298" "ENSP00000210633" 843 61
"299" "ENSP00000211076" 242 24
"300" "ENSP00000211122" 222 12
"301" "ENSP00000211287" 365 17
"302" "ENSP00000211314" 99 2
"303" "ENSP00000211413" 306 61
"304" "ENSP00000211936" 751 34
"305" "ENSP00000211998" 1134 63
"306" "ENSP00000212015" 747 64
"307" "ENSP00000212355" 851 68
"308" "ENSP00000214869" 227 12
"309" "ENSP00000215057" 734 71
"310" "ENSP00000215061" 264 38
"311" "ENSP00000215071" 350 18
"312" "ENSP00000215095" 288 2
"313" "ENSP00000215368" 213 26
"314" "ENSP00000215375" 168 8
"315" "ENSP00000215530" 170 9
"316" "ENSP00000215531" 130 3
"317" "ENSP00000215565" 137 9
"318" "ENSP00000215567" 308 21
"319" "ENSP00000215570" 95 2
"320" "ENSP00000215574" 236 20
"321" "ENSP00000215582" 679 66
"322" "ENSP00000215631" 160 4
"323" "ENSP00000215637" 382 47
"324" "ENSP00000215659" 367 18
"325" "ENSP00000215727" 499 17
"326" "ENSP00000215730" 258 16
"327" "ENSP00000215739" 840 46
"328" "ENSP00000215742" 309 32
"329" "ENSP00000215743" 488 52
"330" "ENSP00000215754" 115 8
"331" "ENSP00000215770" 134 10
"332" "ENSP00000215781" 252 16
"333" "ENSP00000215793" 793 117
"334" "ENSP00000215794" 372 15
"335" "ENSP00000215812" 400 24
"336" "ENSP00000215829" 126 3
"337" "ENSP00000215832" 360 20
"338" "ENSP00000215838" 427 21
"339" "ENSP00000215855" 211 11
"340" "ENSP00000215862" 970 71
"341" "ENSP00000215882" 311 17
"342" "ENSP00000215885" 509 41
"343" "ENSP00000215886" 132 5
"344" "ENSP00000215904" 296 17
"345" "ENSP00000215906" 369 24
"346" "ENSP00000215909" 135 7
"347" "ENSP00000215912" 263 20
"348" "ENSP00000215917" 339 17
"349" "ENSP00000215939" 252 20
"350" "ENSP00000215941" 300 13
"351" "ENSP00000215957" 863 110
"352" "ENSP00000215980" 180 8
"353" "ENSP00000216024" 340 10
"354" "ENSP00000216027" 235 13
"355" "ENSP00000216034" 142 10
"356" "ENSP00000216036" 348 13
"357" "ENSP00000216037" 261 22
"358" "ENSP00000216038" 505 20
"359" "ENSP00000216039" 202 11
"360" "ENSP00000216044" 669 38
"361" "ENSP00000216068" 105 2
"362" "ENSP00000216071" 290 22
"363" "ENSP00000216075" 285 22
"364" "ENSP00000216085" 386 43
"365" "ENSP00000216099" 386 19
"366" "ENSP00000216101" 203 17
"367" "ENSP00000216106" 601 34
"368" "ENSP00000216115" 160 8
"369" "ENSP00000216117" 288 20
"370" "ENSP00000216121" 284 15
"371" "ENSP00000216122" 734 28
"372" "ENSP00000216124" 509 50
"373" "ENSP00000216127" 266 12
"374" "ENSP00000216129" 644 50
"375" "ENSP00000216133" 251 28
"376" "ENSP00000216139" 421 62
"377" "ENSP00000216144" 215 9
"378" "ENSP00000216160" 504 28
"379" "ENSP00000216177" 429 36
"380" "ENSP00000216180" 481 35
"381" "ENSP00000216181" 1960 34
"382" "ENSP00000216185" 166 12
"383" "ENSP00000216190" 548 21
"384" "ENSP00000216200" 110 1
"385" "ENSP00000216211" 287 18
"386" "ENSP00000216214" 357 13
"387" "ENSP00000216218" 369 24
"388" "ENSP00000216223" 551 58
"389" "ENSP00000216225" 108 2
"390" "ENSP00000216237" 705 47
"391" "ENSP00000216241" 762 63
"392" "ENSP00000216252" 110 4
"393" "ENSP00000216254" 780 43
"394" "ENSP00000216259" 262 9
"395" "ENSP00000216264" 537 23
"396" "ENSP00000216267" 1058 68
"397" "ENSP00000216268" 1171 70
"398" "ENSP00000216271" 669 51
"399" "ENSP00000216274" 518 48
"400" "ENSP00000216277" 745 52
"401" "ENSP00000216286" 1375 117
"402" "ENSP00000216294" 368 12
"403" "ENSP00000216297" 1047 34
"404" "ENSP00000216330" 224 11
"405" "ENSP00000216336" 255 15
"406" "ENSP00000216338" 246 17
"407" "ENSP00000216341" 247 18
"408" "ENSP00000216366" 159 6
"409" "ENSP00000216367" 527 39
"410" "ENSP00000216373" 1332 124
"411" "ENSP00000216392" 847 32
"412" "ENSP00000216410" 184 9
"413" "ENSP00000216416" 144 7
"414" "ENSP00000216420" 332 14
"415" "ENSP00000216442" 247 4
"416" "ENSP00000216446" 353 14
"417" "ENSP00000216452" 188 7
"418" "ENSP00000216455" 255 5
"419" "ENSP00000216465" 216 15
"420" "ENSP00000216468" 325 22
"421" "ENSP00000216471" 674 70
"422" "ENSP00000216479" 338 16
"423" "ENSP00000216484" 562 21
"424" "ENSP00000216487" 985 110
"425" "ENSP00000216489" 389 25
"426" "ENSP00000216492" 457 29
"427" "ENSP00000216500" 339 9
"428" "ENSP00000216513" 781 49
"429" "ENSP00000216540" 349 20
"430" "ENSP00000216554" 431 23
"431" "ENSP00000216602" 252 12
"432" "ENSP00000216605" 935 54
"433" "ENSP00000216629" 353 17
"434" "ENSP00000216639" 396 17
"435" "ENSP00000216714" 318 21
"436" "ENSP00000216727" 306 30
"437" "ENSP00000216733" 561 94
"438" "ENSP00000216756" 212 8
"439" "ENSP00000216780" 640 51
"440" "ENSP00000216797" 317 16
"441" "ENSP00000216802" 239 13
"442" "ENSP00000216807" 323 12
"443" "ENSP00000216832" 717 33
"444" "ENSP00000216862" 514 30
"445" "ENSP00000216911" 403 30
"446" "ENSP00000216923" 681 44
"447" "ENSP00000216951" 474 21
"448" "ENSP00000216962" 843 39
"449" "ENSP00000216968" 238 9
"450" "ENSP00000217026" 700 59
"451" "ENSP00000217043" 253 19
"452" "ENSP00000217086" 1053 90
"453" "ENSP00000217109" 431 15
"454" "ENSP00000217121" 229 9
"455" "ENSP00000217131" 303 14
"456" "ENSP00000217133" 451 17
"457" "ENSP00000217159" 722 46
"458" "ENSP00000217169" 298 30
"459" "ENSP00000217173" 541 50
"460" "ENSP00000217182" 463 26
"461" "ENSP00000217188" 488 40
"462" "ENSP00000217195" 199 11
"463" "ENSP00000217233" 358 34
"464" "ENSP00000217244" 391 24
"465" "ENSP00000217246" 425 19
"466" "ENSP00000217254" 469 30
"467" "ENSP00000217260" 234 16
"468" "ENSP00000217270" 384 15
"469" "ENSP00000217289" 677 28
"470" "ENSP00000217320" 215 13
"471" "ENSP00000217372" 587 27
"472" "ENSP00000217381" 505 36
"473" "ENSP00000217386" 125 10
"474" "ENSP00000217402" 224 9
"475" "ENSP00000217407" 481 28
"476" "ENSP00000217420" 525 21
"477" "ENSP00000217423" 141 6
"478" "ENSP00000217426" 432 16
"479" "ENSP00000217428" 89 3
"480" "ENSP00000217446" 435 19
"481" "ENSP00000217455" 319 26
"482" "ENSP00000217456" 416 28
"483" "ENSP00000217515" 289 17
"484" "ENSP00000217652" 171 6
"485" "ENSP00000217740" 232 13
"486" "ENSP00000217901" 393 17
"487" "ENSP00000217909" 341 18
"488" "ENSP00000217939" 2828 227
"489" "ENSP00000217958" 226 6
"490" "ENSP00000217961" 583 36
"491" "ENSP00000217964" 577 21
"492" "ENSP00000217971" 195 13
"493" "ENSP00000217999" 184 17
"494" "ENSP00000218004" 197 7
"495" "ENSP00000218006" 1108 57
"496" "ENSP00000218008" 357 22
"497" "ENSP00000218068" 102 11
"498" "ENSP00000218075" 452 21
"499" "ENSP00000218089" 1268 37
"500" "ENSP00000218099" 461 15
"501" "ENSP00000218104" 745 35
"502" "ENSP00000218176" 647 37
"503" "ENSP00000218224" 265 21
"504" "ENSP00000218230" 260 34
"505" "ENSP00000218249" 278 15
"506" "ENSP00000218316" 617 54
"507" "ENSP00000218340" 350 15
"508" "ENSP00000218348" 963 59
"509" "ENSP00000218388" 207 13
"510" "ENSP00000218436" 1313 130
"511" "ENSP00000218516" 429 21
"512" "ENSP00000218548" 1045 38
"513" "ENSP00000218721" 412 34
"514" "ENSP00000218867" 291 13
"515" "ENSP00000219022" 510 21
"516" "ENSP00000219066" 312 22
"517" "ENSP00000219069" 683 55
"518" "ENSP00000219070" 660 44
"519" "ENSP00000219097" 252 11
"520" "ENSP00000219139" 422 26
"521" "ENSP00000219150" 461 30
"522" "ENSP00000219162" 62 5
"523" "ENSP00000219169" 127 5
"524" "ENSP00000219197" 193 8
"525" "ENSP00000219204" 163 3
"526" "ENSP00000219207" 182 8
"527" "ENSP00000219235" 93 6
"528" "ENSP00000219240" 395 19
"529" "ENSP00000219244" 94 3
"530" "ENSP00000219252" 275 17
"531" "ENSP00000219255" 346 31
"532" "ENSP00000219271" 669 68
"533" "ENSP00000219281" 265 15
"534" "ENSP00000219299" 377 5
"535" "ENSP00000219301" 395 18
"536" "ENSP00000219302" 169 7
"537" "ENSP00000219313" 324 10
"538" "ENSP00000219315" 473 26
"539" "ENSP00000219334" 655 42
"540" "ENSP00000219345" 412 31
"541" "ENSP00000219368" 372 28
"542" "ENSP00000219400" 79 4
"543" "ENSP00000219406" 525 37
"544" "ENSP00000219409" 225 16
"545" "ENSP00000219431" 298 26
"546" "ENSP00000219439" 330 12
"547" "ENSP00000219454" 220 26
"548" "ENSP00000219476" 1807 113
"549" "ENSP00000219478" 480 51
"550" "ENSP00000219479" 187 11
"551" "ENSP00000219481" 292 18
"552" "ENSP00000219548" 303 11
"553" "ENSP00000219596" 781 60
"554" "ENSP00000219599" 314 15
"555" "ENSP00000219611" 1086 101
"556" "ENSP00000219660" 261 13
"557" "ENSP00000219689" 1352 113
"558" "ENSP00000219746" 576 50
"559" "ENSP00000219782" 493 55
"560" "ENSP00000219789" 213 9
"561" "ENSP00000219833" 628 25
"562" "ENSP00000219837" 458 29
"563" "ENSP00000219905" 3065 218
"564" "ENSP00000219919" 295 14
"565" "ENSP00000220003" 450 19
"566" "ENSP00000220058" 389 31
"567" "ENSP00000220062" 266 13
"568" "ENSP00000220166" 335 16
"569" "ENSP00000220325" 541 30
"570" "ENSP00000220420" 720 39
"571" "ENSP00000220429" 395 15
"572" "ENSP00000220478" 468 20
"573" "ENSP00000220496" 304 9
"574" "ENSP00000220507" 236 22
"575" "ENSP00000220509" 973 51
"576" "ENSP00000220514" 229 14
"577" "ENSP00000220531" 172 10
"578" "ENSP00000220562" 919 62
"579" "ENSP00000220592" 859 58
"580" "ENSP00000220597" 432 28
"581" "ENSP00000220616" 2768 173
"582" "ENSP00000220659" 419 28
"583" "ENSP00000220669" 268 11
"584" "ENSP00000220676" 2156 100
"585" "ENSP00000220751" 540 35
"586" "ENSP00000220763" 472 18
"587" "ENSP00000220764" 335 15
"588" "ENSP00000220772" 314 22
"589" "ENSP00000220809" 562 30
"590" "ENSP00000220812" 224 12
"591" "ENSP00000220822" 358 19
"592" "ENSP00000220849" 445 13
"593" "ENSP00000220853" 297 4
"594" "ENSP00000220913" 131 3
"595" "ENSP00000220940" 158 10
"596" "ENSP00000220966" 286 14
"597" "ENSP00000221086" 549 24
"598" "ENSP00000221114" 190 14
"599" "ENSP00000221130" 522 28
"600" "ENSP00000221132" 468 33
"601" "ENSP00000221138" 309 14
"602" "ENSP00000221166" 916 37
"603" "ENSP00000221200" 389 14
"604" "ENSP00000221233" 235 9
"605" "ENSP00000221265" 531 26
"606" "ENSP00000221307" 520 37
"607" "ENSP00000221327" 692 28
"608" "ENSP00000221399" 520 32
"609" "ENSP00000221403" 334 18
"610" "ENSP00000221418" 328 9
"611" "ENSP00000221419" 589 49
"612" "ENSP00000221421" 141 16
"613" "ENSP00000221444" 456 38
"614" "ENSP00000221452" 579 66
"615" "ENSP00000221455" 674 40
"616" "ENSP00000221459" 207 8
"617" "ENSP00000221462" 691 73
"618" "ENSP00000221466" 365 28
"619" "ENSP00000221476" 381 19
"620" "ENSP00000221480" 241 10
"621" "ENSP00000221485" 560 36
"622" "ENSP00000221486" 299 16
"623" "ENSP00000221494" 464 117
"624" "ENSP00000221496" 560 66
"625" "ENSP00000221498" 242 14
"626" "ENSP00000221515" 108 3
"627" "ENSP00000221538" 717 66
"628" "ENSP00000221543" 648 55
"629" "ENSP00000221561" 264 14
"630" "ENSP00000221566" 313 18
"631" "ENSP00000221573" 334 46
"632" "ENSP00000221665" 496 47
"633" "ENSP00000221671" 657 38
"634" "ENSP00000221700" 520 37
"635" "ENSP00000221730" 360 24
"636" "ENSP00000221742" 564 23
"637" "ENSP00000221797" 139 8
"638" "ENSP00000221801" 321 15
"639" "ENSP00000221804" 142 7
"640" "ENSP00000221847" 229 27
"641" "ENSP00000221855" 244 9
"642" "ENSP00000221856" 496 22
"643" "ENSP00000221859" 125 7
"644" "ENSP00000221891" 651 61
"645" "ENSP00000221922" 531 56
"646" "ENSP00000221930" 390 30
"647" "ENSP00000221954" 244 21
"648" "ENSP00000221957" 434 18
"649" "ENSP00000221972" 226 16
"650" "ENSP00000221973" 215 6
"651" "ENSP00000221978" 165 11
"652" "ENSP00000221980" 924 76
"653" "ENSP00000221992" 702 56
"654" "ENSP00000221996" 299 40
"655" "ENSP00000222002" 285 13
"656" "ENSP00000222005" 378 12
"657" "ENSP00000222008" 185 8
"658" "ENSP00000222032" 112 7
"659" "ENSP00000222033" 429 43
"660" "ENSP00000222115" 578 23
"661" "ENSP00000222120" 219 8
"662" "ENSP00000222122" 325 47
"663" "ENSP00000222139" 508 52
"664" "ENSP00000222145" 963 89
"665" "ENSP00000222214" 438 16
"666" "ENSP00000222219" 360 28
"667" "ENSP00000222224" 264 21
"668" "ENSP00000222247" 176 11
"669" "ENSP00000222248" 643 34
"670" "ENSP00000222250" 407 39
"671" "ENSP00000222254" 728 69
"672" "ENSP00000222256" 220 5
"673" "ENSP00000222271" 757 47
"674" "ENSP00000222284" 224 4
"675" "ENSP00000222286" 408 41
"676" "ENSP00000222305" 346 20
"677" "ENSP00000222329" 548 83
"678" "ENSP00000222330" 483 38
"679" "ENSP00000222345" 1781 159
"680" "ENSP00000222374" 388 16
"681" "ENSP00000222381" 355 20
"682" "ENSP00000222382" 504 35
"683" "ENSP00000222388" 634 29
"684" "ENSP00000222390" 728 48
"685" "ENSP00000222399" 1786 87
"686" "ENSP00000222402" 147 15
"687" "ENSP00000222462" 365 11
"688" "ENSP00000222481" 419 19
"689" "ENSP00000222482" 421 19
"690" "ENSP00000222511" 387 16
"691" "ENSP00000222543" 235 12
"692" "ENSP00000222547" 118 2
"693" "ENSP00000222553" 491 21
"694" "ENSP00000222567" 338 19
"695" "ENSP00000222572" 354 19
"696" "ENSP00000222573" 769 29
"697" "ENSP00000222574" 514 31
"698" "ENSP00000222584" 784 50
"699" "ENSP00000222598" 289 31
"700" "ENSP00000222644" 540 27
"701" "ENSP00000222673" 1023 60
"702" "ENSP00000222674" 196 11
"703" "ENSP00000222693" 162 7
"704" "ENSP00000222718" 376 30
"705" "ENSP00000222725" 379 32
"706" "ENSP00000222726" 270 20
"707" "ENSP00000222728" 233 15
"708" "ENSP00000222747" 305 10
"709" "ENSP00000222753" 388 37
"710" "ENSP00000222792" 468 21
"711" "ENSP00000222800" 315 23
"712" "ENSP00000222803" 211 9
"713" "ENSP00000222812" 288 3
"714" "ENSP00000222823" 953 38
"715" "ENSP00000222968" 181 5
"716" "ENSP00000222982" 502 34
"717" "ENSP00000222990" 465 29
"718" "ENSP00000223023" 505 90
"719" "ENSP00000223026" 481 23
"720" "ENSP00000223029" 320 19
"721" "ENSP00000223061" 449 46
"722" "ENSP00000223073" 759 33
"723" "ENSP00000223095" 402 22
"724" "ENSP00000223114" 341 24
"725" "ENSP00000223127" 738 50
"726" "ENSP00000223129" 121 7
"727" "ENSP00000223136" 152 2
"728" "ENSP00000223145" 547 61
"729" "ENSP00000223167" 226 13
"730" "ENSP00000223208" 373 30
"731" "ENSP00000223210" 1169 77
"732" "ENSP00000223215" 335 23
"733" "ENSP00000223273" 226 6
"734" "ENSP00000223293" 337 7
"735" "ENSP00000223321" 234 10
"736" "ENSP00000223324" 188 16
"737" "ENSP00000223357" 1158 126
"738" "ENSP00000223364" 175 6
"739" "ENSP00000223366" 466 9
"740" "ENSP00000223369" 198 6
"741" "ENSP00000223398" 1046 37
"742" "ENSP00000223459" 276 41
"743" "ENSP00000223500" 219 11
"744" "ENSP00000223528" 461 21
"745" "ENSP00000223641" 96 7
"746" "ENSP00000223642" 1676 70
"747" "ENSP00000223795" 234 11
"748" "ENSP00000223862" 185 12
"749" "ENSP00000223864" 147 4
"750" "ENSP00000224073" 148 5
"751" "ENSP00000224140" 2677 142
"752" "ENSP00000224181" 202 10
"753" "ENSP00000224337" 456 57
"754" "ENSP00000224356" 497 27
"755" "ENSP00000224652" 518 41
"756" "ENSP00000224807" 325 22
"757" "ENSP00000224862" 300 19
"758" "ENSP00000224950" 368 14
"759" "ENSP00000225171" 198 8
"760" "ENSP00000225174" 207 11
"761" "ENSP00000225235" 775 59
"762" "ENSP00000225275" 745 55
"763" "ENSP00000225276" 374 21
"764" "ENSP00000225296" 707 43
"765" "ENSP00000225298" 556 32
"766" "ENSP00000225328" 422 16
"767" "ENSP00000225371" 715 46
"768" "ENSP00000225387" 215 9
"769" "ENSP00000225388" 695 48
"770" "ENSP00000225430" 196 3
"771" "ENSP00000225474" 207 15
"772" "ENSP00000225504" 117 4
